# iTOW 10185400
D 0000.159 16.6  51.9
D 0000.159 17.2  52.6
D 0000.159 16.4  52.1
D 0000.159 17.0  52.0
D 0000.158 17.1  53.0
D 0000.159 17.4  52.2
D 0000.158 16.8  53.0
D 0000.158 17.2  53.3
D 0000.158 16.7  52.6
D 0000.159 17.2  52.0
D 0000.159 17.0  52.7
D 0000.159 17.3  52.3
D 0000.159 17.2  52.3
D 0000.159 17.0  52.6
D 0000.158 16.9  52.2
D 0000.158 16.7  52.0
D 0000.158 17.1  52.6
D 0000.158 17.1  52.3
D 0000.159 16.7  52.6
D 0000.158 17.1  52.3
D 0000.158 15.8  52.8
D 0000.159 17.0  53.0
# end 10185400
# iTOW 10189600
D 0000.159 17.1  53.0
D 0000.158 17.2  52.5
D 0000.159 16.8  52.5
D 0000.158 17.3  52.5
D 0000.159 17.0  52.5
D 0000.159 17.1  52.2
D 0000.159 17.1  52.2
D 0000.159 16.8  52.5
D 0000.158 16.7  52.4
D 0000.159 16.9  52.7
D 0000.159 17.8  52.5
D 0000.159 16.9  52.2
D 0000.159 16.6  52.4
D 0000.158 16.4  52.3
D 0000.158 16.7  52.8
D 0000.159 16.8  53.1
D 0000.159 16.9  52.0
D 0000.158 17.4  52.2
D 0000.158 16.7  52.0
D 0000.159 17.0  53.1
D 0000.158 16.8  52.4
D 0000.158 16.9  52.8
# end 10189600
# iTOW 10194000
D 0000.159 17.3  51.8
D 0000.159 16.9  52.5
D 0000.159 16.9  52.6
D 0000.159 16.9  52.3
D 0000.159 16.8  52.7
D 0000.158 17.1  52.9
D 0000.158 16.2  52.7
D 0000.159 17.1  52.3
D 0000.159 16.9  52.8
D 0000.159 17.0  52.7
D 0000.158 17.0  52.1
D 0000.158 17.2  53.4
D 0000.159 16.4  52.5
D 0000.158 17.0  52.2
D 0000.159 16.8  53.1
D 0000.159 16.7  52.8
D 0000.158 16.9  52.6
D 0000.159 16.9  52.7
D 0000.159 16.7  53.5
D 0000.158 17.0  51.9
D 0000.159 17.4  52.6
D 0000.158 17.3  52.7
# end 10194000
# iTOW 10198200
D 0000.158 17.4  52.8
D 0000.159 17.2  53.1
D 0000.158 17.3  52.3
D 0000.158 17.4  52.8
D 0000.158 16.9  52.5
D 0000.159 17.2  52.3
D 0000.159 16.9  52.7
D 0000.158 16.4  52.5
D 0000.158 17.5  52.5
D 0000.159 17.1  52.3
D 0000.159 17.0  52.6
D 0000.159 16.7  52.3
D 0000.160 16.9  52.3
D 0000.158 16.9  52.7
D 0000.159 17.0  53.0
D 0000.159 17.3  51.9
D 0000.159 17.3  53.1
D 0000.159 16.8  52.6
D 0000.159 16.7  53.4
D 0000.158 17.3  52.4
D 0000.159 16.4  52.1
D 0000.158 17.0  52.0
# end 10198200
# iTOW 10202600
D 0000.159 16.4  52.7
D 0000.159 16.6  52.5
D 0000.158 16.8  52.6
D 0000.158 16.9  52.3
D 0000.159 16.6  52.5
D 0000.159 16.4  52.7
D 0000.158 17.1  52.8
D 0000.158 16.8  52.8
D 0000.159 17.1  52.2
D 0000.158 16.6  52.5
D 0000.159 17.0  52.9
D 0000.158 17.2  52.8
D 0000.159 17.4  52.2
D 0000.158 17.0  52.2
D 0000.158 16.4  52.6
D 0000.158 17.1  53.0
D 0000.159 16.9  53.1
D 0000.159 17.1  52.6
D 0000.158 17.6  52.6
D 0000.159 17.1  52.3
D 0000.159 16.9  52.2
D 0000.158 16.4  52.7
# end 10202600
# iTOW 10206800
D 0000.158 17.0  52.6
D 0000.159 17.2  52.2
D 0000.159 17.3  52.3
D 0000.159 17.0  52.5
D 0000.159 16.9  52.5
D 0000.158 17.0  52.3
D 0000.158 17.2  52.8
D 0000.158 17.2  52.9
D 0000.159 16.2  53.1
D 0000.159 16.4  52.2
D 0000.158 16.4  52.8
D 0000.159 16.8  53.0
D 0000.158 17.2  53.1
D 0000.159 17.1  53.0
D 0000.158 17.1  52.7
D 0000.158 16.2  52.2
D 0000.158 16.4  52.9
D 0000.159 17.0  52.2
D 0000.159 16.8  52.3
D 0000.159 16.4  52.0
D 0000.158 17.3  52.5
D 0000.159 16.6  52.3
# end 10206800
# iTOW 10211000
D 0000.159 17.2  52.5
D 0000.159 16.2  52.7
D 0000.158 17.0  51.9
D 0000.158 16.2  53.0
D 0000.159 17.4  53.2
D 0000.159 17.3  53.0
D 0000.159 16.9  52.2
D 0000.158 16.9  52.4
D 0000.158 17.2  52.3
D 0000.159 17.2  52.6
D 0000.158 17.1  52.0
D 0000.158 16.9  53.3
D 0000.158 17.2  52.8
D 0000.158 17.2  52.3
D 0000.159 16.9  53.3
D 0000.159 16.8  52.5
D 0000.159 16.8  52.6
D 0000.158 16.8  52.2
D 0000.158 17.4  52.7
D 0000.158 16.8  53.0
D 0000.159 16.7  52.1
D 0000.159 17.3  52.8
# end 10211000
# iTOW 10215400
D 0000.159 17.0  52.8
D 0000.158 17.1  52.8
D 0000.159 16.4  52.6
D 0000.158 17.2  52.6
D 0000.159 16.7  52.6
D 0000.158 17.1  52.8
D 0000.158 16.7  52.8
D 0000.159 16.8  52.6
D 0000.159 15.9  51.7
D 0000.159 16.8  52.3
D 0000.159 16.9  53.0
D 0000.158 17.0  52.8
D 0000.159 16.8  52.8
D 0000.159 17.4  52.5
D 0000.158 17.1  52.6
D 0000.159 17.1  53.0
D 0000.158 16.7  52.6
D 0000.159 16.7  52.4
D 0000.159 16.8  52.3
D 0000.159 17.2  52.3
D 0000.158 16.8  51.7
D 0000.158 17.2  52.8
# end 10215400
# iTOW 10219600
D 0000.159 16.7  52.9
D 0000.158 16.8  52.5
D 0000.158 17.0  51.7
D 0000.159 16.9  53.3
D 0000.158 17.3  52.2
D 0000.158 16.7  52.3
D 0000.158 17.4  52.7
D 0000.159 17.2  52.6
D 0000.159 16.8  52.3
D 0000.159 16.7  52.3
D 0000.159 17.0  51.8
D 0000.159 16.7  53.0
D 0000.158 16.9  52.5
D 0000.158 17.0  52.5
D 0000.158 16.9  52.2
D 0000.158 17.1  52.1
D 0000.159 16.8  52.1
D 0000.159 16.1  52.0
D 0000.158 16.1  52.6
D 0000.159 16.8  52.3
D 0000.159 17.1  52.5
D 0000.159 17.1  52.3
# end 10219600
# iTOW 10224000
D 0000.159 16.8  52.6
D 0000.158 16.6  52.3
D 0000.159 17.3  52.5
D 0000.158 16.1  52.6
D 0000.158 17.3  52.2
D 0000.158 17.0  52.6
D 0000.159 16.7  52.8
D 0000.159 16.7  52.6
D 0000.159 17.0  52.0
D 0000.158 16.7  52.6
D 0000.159 16.7  52.7
D 0000.159 16.8  52.1
D 0000.158 17.2  52.8
D 0000.159 17.3  52.8
D 0000.158 16.6  52.1
D 0000.158 17.2  53.1
D 0000.158 17.0  52.6
D 0000.158 16.9  52.6
D 0000.158 17.0  52.7
D 0000.159 17.2  52.4
D 0000.159 16.6  52.6
D 0000.158 17.2  53.2
# end 10224000
# iTOW 10228200
D 0000.158 17.6  52.5
D 0000.159 16.9  52.0
D 0000.158 17.2  53.0
D 0000.158 16.4  52.8
D 0000.159 17.2  52.0
D 0000.158 16.4  52.5
D 0000.158 17.5  53.1
D 0000.158 16.9  52.7
D 0000.158 16.2  52.5
D 0000.158 17.0  52.6
D 0000.159 17.4  52.7
D 0000.159 16.9  52.9
D 0000.158 16.9  52.2
D 0000.159 17.4  53.3
D 0000.159 17.1  53.0
D 0000.159 17.2  52.6
D 0000.159 16.4  52.5
D 0000.159 17.0  52.4
D 0000.158 16.7  53.1
D 0000.158 17.3  52.2
D 0000.158 17.2  52.4
D 0000.159 16.6  52.2
# end 10228200
# iTOW 10232400
D 0000.159 16.4  52.7
D 0000.158 16.7  53.1
D 0000.158 16.1  52.4
D 0000.158 16.7  52.8
D 0000.159 16.8  52.8
D 0000.159 16.8  52.3
D 0000.159 16.9  52.7
D 0000.159 17.0  52.3
D 0000.158 17.0  52.7
D 0000.158 17.1  52.4
D 0000.158 16.8  53.0
D 0000.159 16.6  52.8
D 0000.159 17.2  52.6
D 0000.159 17.1  52.6
D 0000.159 16.8  52.4
D 0000.158 15.9  52.6
D 0000.160 17.0  52.7
D 0000.158 17.2  52.8
D 0000.159 17.0  52.1
D 0000.158 17.2  52.0
D 0000.159 16.9  52.3
D 0000.159 17.1  51.8
# end 10232400
# iTOW 10236800
D 0000.158 16.4  52.7
D 0000.159 17.3  52.0
D 0000.159 17.2  52.5
D 0000.159 17.2  52.1
D 0000.159 17.0  52.1
D 0000.159 17.0  52.5
D 0000.159 17.0  52.2
D 0000.159 17.2  52.5
D 0000.158 16.4  52.0
D 0000.159 17.5  52.1
D 0000.158 17.1  52.7
D 0000.158 16.8  52.3
D 0000.159 17.0  52.5
D 0000.158 17.0  52.7
D 0000.159 16.8  52.9
D 0000.159 16.9  52.5
D 0000.158 17.0  52.1
D 0000.159 17.2  52.5
D 0000.159 16.4  51.8
D 0000.159 17.0  53.0
D 0000.158 17.0  52.6
D 0000.159 16.8  52.6
# end 10236800
# iTOW 10241000
D 0000.159 16.4  51.9
D 0000.159 16.9  52.0
D 0000.158 17.2  52.1
D 0000.158 17.2  52.7
D 0000.158 16.8  52.3
D 0000.159 17.0  52.5
D 0000.158 17.2  52.3
D 0000.158 16.8  52.5
D 0000.158 16.2  52.2
D 0000.159 16.2  52.8
D 0000.159 17.1  52.4
D 0000.159 17.3  52.5
D 0000.159 16.6  52.6
D 0000.158 17.0  52.3
D 0000.159 16.7  52.4
D 0000.158 16.6  52.6
D 0000.159 16.9  52.8
D 0000.159 16.4  53.1
D 0000.158 16.9  52.0
D 0000.159 17.0  52.6
D 0000.158 17.0  52.9
D 0000.159 17.2  52.2
# end 10241000
# iTOW 10245400
D 0000.159 16.7  51.9
D 0000.159 16.7  52.3
D 0000.158 17.5  52.7
D 0000.158 16.8  52.3
D 0000.158 16.9  52.1
D 0000.158 16.1  52.2
D 0000.158 16.2  52.5
D 0000.159 16.9  52.6
D 0000.159 17.0  52.5
D 0000.159 17.3  52.1
D 0000.158 17.4  52.8
D 0000.158 16.8  52.3
D 0000.159 17.0  52.6
D 0000.159 17.4  53.3
D 0000.159 16.9  52.3
D 0000.158 17.0  52.8
D 0000.159 16.7  52.5
D 0000.158 17.0  52.6
D 0000.159 16.8  52.8
D 0000.158 17.0  52.2
D 0000.158 16.4  52.8
D 0000.158 16.8  53.0
# end 10245400
# iTOW 10249600
D 0000.158 16.4  52.8
D 0000.158 17.1  52.4
D 0000.158 16.4  52.3
D 0000.158 16.7  52.6
D 0000.158 17.1  52.4
D 0000.158 17.5  52.3
D 0000.158 17.2  52.9
D 0000.159 16.9  52.0
D 0000.159 16.2  51.7
D 0000.159 16.9  52.5
D 0000.158 17.0  52.8
D 0000.159 16.8  52.3
D 0000.158 16.4  52.5
D 0000.159 16.4  52.1
D 0000.158 16.4  53.2
D 0000.158 17.0  53.0
D 0000.158 17.3  53.0
D 0000.159 16.9  52.7
D 0000.159 16.4  52.1
D 0000.159 17.0  53.0
D 0000.158 16.9  51.9
D 0000.159 16.9  52.8
# end 10249600
# iTOW 10254000
D 0000.158 17.3  52.7
D 0000.159 17.0  52.9
D 0000.158 16.7  52.3
D 0000.158 17.0  52.5
D 0000.158 17.3  52.5
D 0000.158 16.9  52.6
D 0000.158 16.4  52.2
D 0000.158 17.1  52.5
D 0000.158 17.3  52.5
D 0000.159 17.0  52.6
D 0000.159 17.2  51.8
D 0000.159 16.8  52.1
D 0000.159 17.2  52.3
D 0000.158 17.1  52.3
D 0000.159 17.3  52.3
D 0000.158 17.0  52.7
D 0000.158 16.8  52.6
D 0000.158 16.4  52.4
D 0000.158 17.0  52.2
D 0000.158 17.0  52.8
D 0000.159 16.6  52.2
D 0000.159 17.1  52.0
# end 10254000
# iTOW 10258200
D 0000.159 16.8  52.5
D 0000.159 17.0  52.3
D 0000.159 17.1  52.5
D 0000.158 17.0  52.5
D 0000.158 16.7  52.2
D 0000.158 17.2  53.0
D 0000.158 17.2  52.6
D 0000.158 16.7  52.5
D 0000.158 16.6  52.7
D 0000.158 16.6  52.8
D 0000.158 17.0  51.7
D 0000.159 16.2  51.9
D 0000.159 17.1  52.6
D 0000.159 17.2  53.3
D 0000.159 17.0  52.5
D 0000.159 17.1  53.3
D 0000.159 17.2  52.3
D 0000.159 16.2  51.9
D 0000.159 16.8  52.8
D 0000.159 17.0  52.8
D 0000.158 17.0  52.3
D 0000.158 17.0  52.6
# end 10258200
# iTOW 10262600
D 0000.159 16.4  52.0
D 0000.158 16.4  52.3
D 0000.158 17.2  53.1
D 0000.158 16.4  52.6
D 0000.158 17.4  52.5
D 0000.159 17.1  52.6
D 0000.159 16.2  52.3
D 0000.159 17.3  52.7
D 0000.159 17.2  52.7
D 0000.158 17.2  53.1
D 0000.159 17.1  52.5
D 0000.158 17.1  52.7
D 0000.159 17.0  52.5
D 0000.158 17.3  52.7
D 0000.158 17.1  52.5
D 0000.159 16.9  52.6
D 0000.159 17.2  52.8
D 0000.159 17.1  52.4
D 0000.158 17.2  52.3
D 0000.158 16.4  52.2
D 0000.159 17.2  52.3
D 0000.158 17.1  52.5
# end 10262600
